"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3822","verify Invalid login @wip","Google Chrome","Wed Dec 17 11:38:34 UTC 2025","passed","Wed Dec 17 11:38:38 UTC 2025","","loginpage.spec.ts","",""
"","6501","verify valid login @login","Google Chrome","Wed Dec 17 11:38:27 UTC 2025","passed","Wed Dec 17 11:38:34 UTC 2025","","loginpage.spec.ts","",""
